"","date","mean"
"3115",2015-08-26,4.86583333333333
"3116",2015-08-27,4.80375
"3117",2015-08-28,4.86416666666667
"3118",2015-08-29,4.93625
"3119",2015-08-30,4.91916666666667
"3120",2015-08-31,4.86125
"3121",2015-09-01,4.92375
"3122",2015-09-02,4.9975
"3123",2015-09-03,4.95875
"3124",2015-09-04,4.92333333333333
"3125",2015-09-05,4.71375
"3126",2015-09-06,4.63041666666667
"3127",2015-09-07,4.69958333333333
"3128",2015-09-08,4.76541666666667
"3129",2015-09-09,4.885
"3130",2015-09-10,5.00041666666667
"3131",2015-09-11,5.02916666666667
"3132",2015-09-12,5.17333333333333
"3133",2015-09-13,5.23083333333333
"3134",2015-09-14,5.5175
"3135",2015-09-15,5.38958333333333
"3136",2015-09-16,5.08
"3137",2015-09-17,4.86130434782609
"3138",2015-09-18,4.90291666666667
"3139",2015-09-19,4.95041666666667
"3140",2015-09-20,4.99625
"3141",2015-09-21,5.13583333333333
"3142",2015-09-22,5.405
"3143",2015-09-23,5.10583333333333
"3144",2015-09-24,4.89458333333333
"3145",2015-09-25,4.99458333333333
"3146",2015-09-26,5.11083333333333
"3147",2015-09-27,5.24208333333333
"3148",2015-09-28,5.36958333333333
"3149",2015-09-29,5.40041666666667
"3150",2015-09-30,5.2525
"3151",2015-10-01,5.12666666666667
"3152",2015-10-02,4.99583333333333
"3153",2015-10-03,5.23291666666667
"3154",2015-10-04,5.23833333333333
"3155",2015-10-05,5.08625
"3156",2015-10-06,4.84375
"3157",2015-10-07,4.73375
"3158",2015-10-08,4.63875
"3159",2015-10-09,4.72041666666667
"3160",2015-10-10,4.86875
"3161",2015-10-11,4.8675
"3162",2015-10-12,4.84375
"3163",2015-10-13,4.91541666666667
"3164",2015-10-14,5.11875
"3165",2015-10-15,5.27083333333333
"3166",2015-10-16,5.32958333333333
"3167",2015-10-17,5.38541666666667
"3168",2015-10-18,5.2625
"3169",2015-10-19,4.99958333333333
"3170",2015-10-20,4.76833333333333
"3171",2015-10-21,4.70166666666667
"3172",2015-10-22,4.75375
"3173",2015-10-23,4.84458333333333
"3174",2015-10-24,4.8325
"3175",2015-10-25,4.93375
"3176",2015-10-26,4.88833333333333
"3177",2015-10-27,4.97125
"3178",2015-10-28,5.02791666666667
"3179",2015-10-29,4.94166666666667
"3180",2015-10-30,4.79416666666667
"3181",2015-10-31,4.74416666666667
"3182",2015-11-01,4.80791666666667
"3183",2015-11-02,4.75333333333333
"3184",2015-11-03,4.52333333333333
"3185",2015-11-04,4.22375
"3186",2015-11-05,4.05625
"3187",2015-11-06,4.07083333333333
"3188",2015-11-07,4.21291666666667
"3189",2015-11-08,4.52541666666667
"3190",2015-11-09,4.74291666666667
"3191",2015-11-10,4.47583333333333
"3192",2015-11-11,4.24
"3193",2015-11-12,4.3525
"3194",2015-11-13,4.515
"3195",2015-11-14,4.69875
"3196",2015-11-15,5.23583333333333
"3197",2015-11-16,4.43521739130435
"3198",2015-11-17,4.00583333333333
"3199",2015-11-18,3.99208333333333
"3200",2015-11-19,3.97875
"3201",2015-11-20,4.07958333333333
"3202",2015-11-21,4.15791666666667
"3203",2015-11-22,4.37458333333333
"3204",2015-11-23,4.78166666666667
"3205",2015-11-24,5.1575
"3206",2015-11-25,5.04166666666667
"3207",2015-11-26,4.88416666666667
"3208",2015-11-27,4.79708333333333
"3209",2015-11-28,4.81333333333333
"3210",2015-11-29,4.8
"3211",2015-11-30,4.65083333333333
"3212",2015-12-01,4.49833333333333
"3213",2015-12-02,4.30916666666667
"3214",2015-12-03,4.65166666666667
"3215",2015-12-04,4.58272727272727
"3216",2015-12-05,4.25833333333333
"3217",2015-12-06,4.49541666666667
"3218",2015-12-07,4.5525
"3219",2015-12-08,4.63782608695652
"3220",2015-12-09,4.74625
"3221",2015-12-10,4.93143722832571
"3222",2015-12-11,5.39125
"3223",2015-12-12,5.035
"3224",2015-12-13,5.3475
"3225",2015-12-14,4.77375
"3226",2015-12-15,4.40708333333333
"3227",2015-12-16,4.42375
"3228",2015-12-17,4.375
"3229",2015-12-18,4.44916666666667
"3230",2015-12-19,4.61625
"3231",2015-12-20,4.4495652173913
"3232",2015-12-21,4.71416666666667
"3233",2015-12-22,5.36913043478261
"3234",2015-12-23,5.16375
"3235",2015-12-24,5.17
"3236",2015-12-25,4.91291666666667
"3237",2015-12-26,4.47
"3238",2015-12-27,4.45375
"3239",2015-12-28,4.56833333333333
"3240",2015-12-29,4.53208333333333
"3241",2015-12-30,4.17375
"3242",2015-12-31,3.97652173913043
"3243",2016-01-01,3.97083333333333
"3244",2016-01-02,3.995
